SampleID,Polynomial,NumVars,Degree,FullBasisSize,RLPrunedSize,NPPrunedSize,TSSOSPrunedSize
8,x1**4 - 3*x1**3*x2 + 2*x1**2*x2**2 + 2*x1**2*x3**2 - 3*x1*x3**3 + x2**4 - 3*x2**3*x3 + 2*x2**2*x3**2 + x3**4,3,4,10,6,6,6
9,5*x1**4 - x1**2*x2**2 - 8*x1**2*x3**2 - x1**2*x4**2 + 5*x2**4 - x2**2*x3**2 - 8*x2**2*x4**2 + 5*x3**4 - x3**2*x4**2 + 5*x4**4,4,4,15,7,10,10
11,(1 + x3**2 + x3**4 + x2**2 + x2**2 * x3**2 + x2**4 - 10 * x1 * x2 * x3 + x1**2 + x1**2 * x3**2 + x1**2 * x2**2 + x1**4),3,4,10,10,10,10
101,x1**8 - x1**6*x2**2 - x1**6*x3**2 + 2*x1**4*x2**4 - x1**4*x2**2*x3**2 + 2*x1**4*x3**4 - x1**2*x2**6 - x1**2*x2**4*x3**2 - x1**2*x2**2*x3**4 - x1**2*x3**6 + x2**8 - x2**6*x3**2 + 2*x2**4*x3**4 - x2**2*x3**6 + x3**8,3,8,35,7,15,15
15,x1**4 - 4*x1**2*x2**2 + 2*x1**2*x3**2 + 4*x2**4 - 4*x2**2*x3**2 + x3**4,3,4,10,4,6,6
16,3*(x1**4 + x2**4 + x3**4) - (x1**2 + x2**2 + x3**2)**2,3,4,10,4,6,6
21,x1**4*x2**2 + x1**4*x3**2 + x1**2*x2**4 - 6*x1**2*x2**2*x3**2 + x1**2*x3**4 + x2**4*x3**2 + x2**2*x3**4,3,6,20,6,7,10
22,x1**6 + x2**6 + x3**6 + x1**2*x2**4 + x2**2*x3**4 + x3**2*x1**4 - 2*(x1**4*x2**2 + x2**4*x3**2 + x3**4*x1**2),3,6,20,6,10,9
30,x1**6 + x1**2*x2**2*x3**2 - 4*x1**2 + x2**6 - 4*x2**2 + x3**6 - 4*x3**2 + 8,3,6,20,20,20,17
10,(2*x4**2 - 2*x3*x4 + 8*x3**2 - 2*x2*x3 + x2**2 - 2*x2**2*x4 + x2**4 - 4*x1*x2*x3 - 4*x1**2*x3 + x1**2*x2**2 + 2*x1**4),4,4,15,10,6,14
33,x1**6 + 3*x1**4*x2**2 + 3*x1**2*x2**4 - 4*x1**2*x2**2 - 4*x1**2*x3**2 - 4*x1**2*x4**2 + x2**6 - 4*x2**2*x3**2 - 4*x2**2*x4**2 + x3**6 + 3*x3**4*x4**2 + 3*x3**2*x4**4 - 4*x3**2*x4**2 + x4**6 + 8,4,6,35,31,35,31
35,x1**4 + 3*x1**2*x2**2*x3**2 + x1**2*x2**2 + x1**2*x3**2 + x1**2 + x2**4 - x2**2*x3**2 - x2**2 + x3**4 - x3**2 + 2,3,6,20,6,11,20
65,x1**8 - x1**4*x2**4 - x1**4*x3**4 + x2**8 - x2**4*x3**4 + x3**8,3,8,35,3,15,12
54,(x1**2 + x2**2)**4 + (x2**2 + x3**2)**4 + (x3**2 + x1**2)**4 - (4/7) * (x1**8 + x2**8 + x3**8),3,8,35,13,15,12
55,x1**4*x2**4 - x1**4*x2**2*x3**2 + x1**4*x3**4 - x1**2*x2**4*x3**2 - x1**2*x2**2*x3**4 + x2**4*x3**4,3,8,35,3,6,15
57,4*x1**8 - 4*x1**2*x2**2 - 4*x1**2*x3**2 + 4*x2**8 - 4*x2**2*x3**2 + 4*x3**8 + 3,3,8,35,9,35,22
58,7*(x1**2 + x2**2)**4 + 7*(x1**2 + x3**2)**4 + 7*(x2**2 + x3**2)**4 - 4*(x1**2 + x2**2 + x3**2)**4,3,8,35,10,15,15
59,10*x1**8 + 28*x1**6*x2**2 + 28*x1**6*x3**2 + 42*x1**4*x2**4 + 42*x1**4*x3**4 + 28*x1**2*x2**6 + 28*x1**2*x3**6 + 10*x2**8 + 28*x2**6*x3**2 + 42*x2**4*x3**4 + 28*x2**2*x3**6 + 10*x3**8,3,8,35,12,15,12
60,x1**8 - x1**4*x2**2*x3**2 - x1**2*x2**4*x3**2 - x1**2*x2**2*x3**4 + x2**8 + x3**8,3,8,35,9,15,15
3,(x1**2 + 2) * (x2**2 + 2) * (x3**2 + 2) - 3 * (x1 + x2 + x3)**2,3,6,20,13,8,17

